net,pins,connections
GND,68,C1.2 C10.2 C11.2 C12.2 C17.2 C2.2 C21.1 C22.2 C23.2 C27.2 C3.2 C37.2 C4.2 C42.1 C43.2 C5.2 C50.2 C56.2 C61.2 C7.2 C8.1 C9.2 D15.2 D16.1 J1.11 J1.4 J1.9 J3.3 J4.2 Q1.S Q2.E Q7.S R104.2 R12B.3 R130.2 R134.2 R27.3 R28.3 R29.3 R35B.2 R36.1 R44.3 R51.2 R54.2 R58.2 R59.2 R59B.2 R6.2 R60.2 R65.2 R66.2 R68.2 R78B.2 R81.2 R82.2 S1.2 T2.4 TP1.1 U1B.5 U2B.12 U2C.10 U3.10 U4B.3 U4D.5 U5.12 U6.8 U7A.7 U9B.5
P15,36,C20.1 C38.1 C50.1 C56.1 C9.1 D19.2 J1.10 J4.1 R114.2 R115.2 R116.2 R117.2 R121.1 R126.1 R131.1 R132.1 R137.1 R39.1 R49.1 R50.1 R64B.1 R67.1 R78A.1 R80B.1 R83.1 R84.1 R88.1 T2.1 TP8.2 U1B.8 U5.3 U6.16 U6.5 U7A.14 U8B.8 U9A.8
N15,16,C42.2 C8.2 D44.1 J1.12 J4.3 R118.2 R118.3 R119.2 R119.3 R20.2 R38.2 R79.1 R87.2 U1B.4 U8B.4 U9A.4
BUSCOM,15,C51.2 C52.2 C53.2 D78C.1 D78D.1 FGF.1 J5.4 J5.5 Q11.E Q12.E R147.2 R153.2 R154.2 R155.2 R85.1
N_SUM,10,J3.4 R113.1 R33.2 R34.2 R35.2 R37.2 R53.1 R56.1 R57.1 U1B.6
N_MOTOR_B,10,C40.2 C44.2 D78B.1 D78D.2 Q11.C Q6.D Q9.E R135.2 R136.2 R157.2
N_CL,9,D7.2 D8.1 J3.1 R12A.1 R30.3 R31.1 R31.2 R40.2 R52.2
N_MOTOR_A,9,C55.2 D78A.1 D78C.2 J5.7 J5.8 Q12.C Q14.E R149.2 R150.2
N_ZREF,6,C30.2 C31.2 D44.2 R126.2 U8A.3 U8B.5
N_RESET_LATCH,6,D38.2 D39.2 D40.2 D41.2 D42.2 D43.2
N_TEMPTRIP,6,C22.1 D19.1 R88.2 R89.1 R90.2 U7B.3
N_XFMR_CT,6,C61.1 DRIVER1.3 DRIVER2.3 R137.2 T3.2 T4.2
N_DCBUS_SW,6,D78A.2 D78B.2 Q14.C Q9.C R144.2 R156.2
N_AV_OUT,5,D12.1 R14.1 R15.2 R42.2 U2B.14
N_CLAMP,5,D10.2 D11.2 D3.1 Q2.C R49.2
N_DRVA,5,D14.2 R64A.2 R66.1 U4A.14 U4B.2
N_DRVC,5,D17.2 R80A.2 R82.1 U4C.8 U4D.6
N_U6_COMMON_IN,5,U6.12 U6.14 U6.4 U6.6 U7C.6
N_DCBUS,5,C51.1 J5.1 J5.2 R151.1 R156.1
N_Q9_B,5,C44.1 D46.2 D47.2 Q9.B R135.1
N_Q11_B,5,C52.1 D52.2 D53.2 Q11.B R153.1
N_Q14_B,5,C55.1 D50.2 D51.2 Q14.B R149.1
N_Q12_B,5,C53.1 D48.2 D49.2 Q12.B R155.1
N_TACH,4,C16.1 C17.1 R11.2 R29.1
N_BAL_INJ,4,R57.2 R58.1 R59B.1 R60B.1
N_RECT_OUT,4,D12.2 D13.2 D9.1 RMSTIMER.1
N_U3_INV,4,R20.1 R21.2 TP8.1 U3.11
N_R47_TOP,4,R46.1 R47.1 R50.2 U3.13
N_R47_BOT,4,D1.1 D11.1 R47.2 R48.1
N_R46_BOT,4,D10.1 D2.1 R45.1 R46.2
N_J1_14,4,D14.1 J1.14 R59.1 R67.2
N_J1_15,4,D17.1 J1.15 R60.1 R83.2
N_BUSSENSE,4,C30.1 R120.1 R125.2 U8A.2
N_15VSENSE,4,C31.1 R121.2 R122.1 U8B.6
N_OVERVOLT,4,C20.2 D18.1 R86.2 U6.15
N_U6_7,4,C27.1 D24.2 R99.2 U6.7
N_U6_PIN3,4,C21.2 R84.2 R85.2 U6.3
N_OT_LATCH_OUT,4,D36.2 D37.2 R78B.1 U5.8
N_HITEMP,4,C23.1 R102.1 R103.1 U6.11
N_J5_MOTOR_B,4,J5.10 J5.11 R142.1 R157.1
N_Q5_B,4,C39.1 Q5.B R130.1 R132.2
N_Q5_C,4,C36.2 C37.1 Q5.C T2.3
N_T1_4,4,Q6.S R133.2 T1.4 T2.6
N_IN1,3,C2.1 R1.2 R3.1
N_U1A_INV,3,R2.1 R3.2 U1A.2
N_IN2,3,C3.1 R4.2 R5.1
N_U1A_NONINV,3,R5.2 R6.1 U1A.3
N_DIFFOUT,3,JMP1.B R2.2 U1A.1
N_AUX_IN,3,C4.1 R27.1 R7.2
N_JMP_A,3,C5.1 JMP1.A R8.2
N_SIG,3,R28.2 R34.1 TP3.1
N_AUX,3,R27.2 R33.1 TP2.1
N_J1_3_TACH_IN,3,J1.3 R9.1 TP6.1
N_T1A,3,C6.1 R10.1 R9.2
N_T2A,3,C1.1 R10.2 R11.1
N_TACH_W,3,R29.2 R37.1 TP4.1
N_U2A_OUT,3,R16.2 U2A.1 U2A.2
N_AV_BUF_IN,3,D9.2 R14.2 U2A.3
N_U2B_INV,3,R13.1 R15.1 U2B.13
N_ECC_FB,3,R13.2 R91.2 U9B.6
N_U2C_INV,3,R42.1 R43.1 U2C.9
N_U2C_OUT,3,D13.1 R43.2 U2C.8
N_RMS_LEVEL,3,R19.2 R44.1 R44.2
N_J1_6,3,C10.1 D1.2 J1.6
N_J1_7,3,C11.1 D2.2 J1.7
N_J1_8,3,C12.1 D3.2 J1.8
N_U4A_COL,3,R64B.2 R65.1 U4A.12
N_U4C_COL,3,R80B.2 R81.1 U4C.10
N_Q2_BASE,3,Q2.B R68.1 R69.2
N_COMP_W,3,C18.2 R30.2 TP5.1
N_FB_DIV,3,R52.1 R53.2 R54.1
N_U1B_OUT,3,D5.2 D6.1 U1B.7
N_CLAMP_TOP,3,D5.1 D7.1 R39.2
N_CLAMP_BOT,3,D6.2 D8.2 R38.1
N_PEAK_I,3,R12A.2 R12B.1 R12B.2
N_ECC,3,D36.1 R41.1 U9B.7
N_BAL_P,3,D15.1 R32.1 R78A.2
N_BAL_N,3,D16.2 R32.3 R79.2
N_U8B_OUT,3,R100.1 R123.1 U8B.7
N_SURGE_OUT,3,R87.1 SURGE_DETECTOR.OUT U7D.11
N_U7D_OUT,3,D24.1 R99.1 U7D.10
N_UV_DET,3,D39.1 U5.4 U6.1
N_GF_DET,3,D40.1 U5.6 U6.13
N_OT_DET,3,D37.1 D41.1 U6.10
N_SURGE_LATCH_OUT,3,D38.1 U5.10 U6.9
N_T1_3,3,C40.1 R142.2 T1.3
N_U7B4_U7C5,3,D42.1 U7B.4 U7C.5
N_Q5_E,3,C38.2 Q5.E R131.2
N_Q7_GATE,3,C36.1 Q7.E R134.1
N_Q6_GATE,3,C41.2 Q6.E R133.1
N_U9_SUM,3,R94.2 R95.2 U9A.2
N_J2_1,2,J2.1 R1.1
N_J2_2,2,J2.2 R4.1
N_J1_1,2,J1.1 R7.1
N_J1_2,2,J1.2 R8.1
N_SIGTOP,2,JMP1.W R28.1
N_C6_C7_MID,2,C6.2 C7.1
N_CT,2,C16.2 R35.1
CHASSIS,2,R36.2 RGF.1
N_J1_5_IN,2,J1.5 R16.1
N_RMS_TOP,2,D12A.1 RMSTIMER.2
N_RMS_OUT,2,R19.1 RMSTIMER.3
P100,2,R124.1 R21.1
N_U4A_BASE,2,R45.2 U4A.13
N_J1_13,2,J1.13 LOCKOUT.5
N_U4C_BASE,2,R48.2 U4C.9
N_LOCKOUT_INH2,2,LOCKOUT.6 U4B.1
N_R64A_R80A_TOP,2,R64A.1 R80A.1
N_J3_2,2,J3.2 R113.2
N_RA_CA,2,C18.1 R56.2
N_R30_TOP,2,R30.1 R51.1
N_ILIM_BOT,2,R31.3 R35B.1
N_Q1_G,2,Q1.G R41.2
N_Q1_D,2,Q1.D R40.1
N_BAL_W,2,R32.2 R60B.2
N_R124_R125,2,R124.2 R125.1
N_HIBUSADJ,2,R118.1 R120.2
N_15VADJ,2,R119.1 R122.2
N_U8A_OUT,2,R86.1 U8A.1
N_U7A_IN,2,R100.2 U7A.13
N_U7A_OUT,2,D18.2 U7A.12
N_LED_UV,2,LED1.2 U5.2
N_LED_UV_A,2,LED1.1 R114.1
N_LED_GF,2,LED2.2 U5.1
N_LED_GF_A,2,LED2.1 R115.1
N_LED_OT,2,LED3.2 U5.14
N_LED_OT_A,2,LED3.1 R116.1
N_LED_SURGE,2,LED4.2 U5.13
N_LED_SURGE_A,2,LED4.1 R117.1
N_R103_D25,2,D25.1 R103.2
N_D25K,2,D25.2 R91.1
N_TEMPSENS_OUT,2,R102.2 TEMPSENSOR.OUT
N_S1_R89,2,R89.2 S1.1
N_TP7,2,R95.1 TP7.1
N_MODIN,2,C43.1 T1.1
N_T2_2,2,C39.2 T2.2
N_T1_2,2,Q7.D T1.2
N_T2_5,2,C41.1 T2.5
N_U9_NONINV,2,R104.1 U9A.3
N_U9_OUT,2,PWM.1 U9A.1
N_CLK_OUT,2,CLOCK.1 PWM.2
N_PWM_OUTA,2,PWM.3 R73.1
N_R73_LO,2,LOCKOUT.1 R73.2
N_PWM_OUTB,2,PWM.4 R76.1
N_R76_LO,2,LOCKOUT.2 R76.2
N_LO_OUTA,2,DRIVER1.1 LOCKOUT.3
N_LO_OUTB,2,DRIVER2.1 LOCKOUT.4
N_T4P3,2,DRIVER1.2 T4.3
N_T4P1,2,DRIVER1.4 T4.1
N_T3P3,2,DRIVER2.2 T3.3
N_T3P1,2,DRIVER2.4 T3.1
N_R151TAP,2,R151.2 SURGE_DETECTOR.IN
N_R144_R151,2,R144.1 R151.3
N_T3_7,2,D47.1 T3.7
N_T3_9,2,D46.1 T3.9
N_T3_8,2,R136.1 T3.8
N_T4_4,2,D53.1 T4.4
N_T4_6,2,D52.1 T4.6
N_T4_5,2,R154.1 T4.5
N_T4_7,2,D51.1 T4.7
N_T4_9,2,D50.1 T4.9
N_T4_8,2,R150.1 T4.8
N_T3_4,2,D48.1 T3.4
N_T3_6,2,D49.1 T3.6
N_T3_5,2,R147.1 T3.5
N_GF_MID,2,FGF.2 RGF.2
